patnum,assignee,pgpub_id,assignee_cleaned,cik,company_name,Cleaned_company_name,Score,Score
5520357,"B/E Aerospace, Inc.",,beaerospace,861361,B/E AEROSPACE INC,beaerospace,94.44444444444444,94.44444444444444
5520357,"B/E Aerospace, Inc.",,beaerospace,861361,B/E AEROSPACE INC,beaerospace,94.44444444444444,94.44444444444444
6028277,"BP Holdings, LLC",,bp,1280806,B/K HOLDINGS LLC,bk,87.5,87.5
5910971,"BWXT SERVICES, INC.",,bwxtservices,1441963,"B1 PTI Services, Inc.",b1ptiservices,85.0,85.0
5898576,Bay Networks Inc.,,baynetworks,1383703,B2 NETWORKS INC,b2networks,87.5,87.5
3414462,BPB Industries PLC,,bpbindustries,1298943,B2B INDUSTRIES LLC,b2bindustries,88.88888888888889,88.88888888888889
3774569,BOLDT CORP,,boldt,1429937,B2GOLD CORP,b2gold,85.71428571428572,85.71428571428572
5006362,"BPSI HOLDINGS, INC.",,bpsi,1674287,"B2S HOLDINGS, INC.",b2s,91.89189189189189,91.89189189189189
4923609,"Bio, Inc.",,bio,1504095,"B3 BIO, INC.",b3bio,85.71428571428572,85.71428571428572
5542658,"BEL GROUP, LLC",,belgroup,1635699,"B3P Group, LLC",b3pgroup,85.71428571428572,85.71428571428572
5426987,"B3 Systems, Inc.",,b3systems,1167178,"B456 SYSTEMS, INC.",b456systems,88.23529411764706,88.23529411764706
5588007,"BOZAK INVESTMENTS, LLC",,bozakinvestments,1403723,B4A INVESTMENT LLC,b4ainvestment,85.0,85.0
4894373,"BCM Technologies, Inc.",,bcmtechnologies,1588811,"B4C Technologies, Inc.",b4ctechnologies,95.45454545454545,95.45454545454545
4738362,Beral Enterprises,,beralenterprises,1288769,Ba Enterprises,baenterprises,90.32258064516128,90.32258064516128
5768993,"Bryce International, L.L.C.",,bryceinternational,1395710,"BA INTERNATIONAL, L.L.C.",bainternational,90.19607843137256,90.19607843137256
5768993,"Bryce International, L.L.C.",,bryceinternational,1395710,"BA International, L.L.C.",bainternational,90.19607843137256,90.19607843137256
