patnum,assignee,pgpub_id,assignee_cleaned,cik,company_name,Cleaned_company_name,Score,Score
5493702,"CHESTER HOLDINGS, LLC",,chester,1575008,"C-SUITE HOLDINGS, LLC",csuite,85.71428571428572,85.71428571428572
1951305,C HOFFBERGER Co,,choffberger,1524552,C. Hoffberger Co,choffberger,96.7741935483871,96.7741935483871
4300185,"C. W. Cole & Company, Inc.",,cwcole,700151,"C. L. Glazer & Company, Inc.",clglazer,85.18518518518519,85.18518518518519
3538725,CFC ENTERPRISES,,cfcenterprises,1479478,C.F. ENTERPRISES,cfenterprises,90.32258064516128,90.32258064516128
5978988,"C.A.B., Inc.",,cab,1367160,"C.F.B., INC.",cfb,91.66666666666666,91.66666666666666
5090216,"CJC Holdings, Inc.",,cjc,1426991,"C.G. JCF Holdings, Inc.",cgjcf,87.8048780487805,87.8048780487805
5090216,"CJC Holdings, Inc.",,cjc,1426991,"C.G. JCF HOLDINGS, INC.",cgjcf,87.8048780487805,87.8048780487805
4300185,"C. W. Cole & Company, Inc.",,cwcole,1128915,"C.K. COOPER & COMPANY, INC.",ckcooper,86.79245283018868,86.79245283018868
5978988,"C.A.B., Inc.",,cab,1367159,"C.L.B., INC.",clb,91.66666666666666,91.66666666666666
2634453,C S PRODUCTS Inc,,csproducts,1177286,C/M PRODUCTS INC,cmproducts,87.5,87.5
5529392,"CHEM FINANCIAL, INC.",,chemfinancial,1609132,"C1 Financial, Inc.",c1financial,89.47368421052632,89.47368421052632
5513328,"CONNECT, INC.",,connect,1589751,"C10Connect, Inc.",c10connect,89.65517241379311,89.65517241379311
1958923,CO2 APPLIANCE Co,,co2appliance,1368967,C2 APPLIANCE INC,c2appliance,87.5,87.5
5381524,C2 DESIGN AUTOMATION,,c2designautomation,1105163,C2 DESIGN AUTOMATION,c2designautomation,100.0,100.0
4902197,"COBALT TECHNOLOGIES, INC.",,cobalttechnologies,849145,C2 Global Technologies Inc,c2globaltechnologies,86.27450980392157,86.27450980392157
4902197,"COBALT TECHNOLOGIES, INC.",,cobalttechnologies,849145,C2 GLOBAL TECHNOLOGIES INC,c2globaltechnologies,86.27450980392157,86.27450980392157
4902197,"COBALT TECHNOLOGIES, INC.",,cobalttechnologies,849145,C2 Global Technologies Inc,c2globaltechnologies,86.27450980392157,86.27450980392157
4902197,"COBALT TECHNOLOGIES, INC.",,cobalttechnologies,849145,C2 GLOBAL TECHNOLOGIES INC,c2globaltechnologies,86.27450980392157,86.27450980392157
4902197,"COBALT TECHNOLOGIES, INC.",,cobalttechnologies,849145,C2 Global Technologies Inc,c2globaltechnologies,86.27450980392157,86.27450980392157
4902197,"COBALT TECHNOLOGIES, INC.",,cobalttechnologies,849145,C2 GLOBAL TECHNOLOGIES INC,c2globaltechnologies,86.27450980392157,86.27450980392157
4902197,"COBALT TECHNOLOGIES, INC.",,cobalttechnologies,849145,C2 Global Technologies Inc,c2globaltechnologies,86.27450980392157,86.27450980392157
4902197,"COBALT TECHNOLOGIES, INC.",,cobalttechnologies,849145,C2 GLOBAL TECHNOLOGIES INC,c2globaltechnologies,86.27450980392157,86.27450980392157
5283129,CMP HOLDINGS LLC,,cmp,1453220,C2 HOLDINGS LLC,c2,90.32258064516128,90.32258064516128
5875579,"CB HOLDINGS, INC.",,cb,1524736,"C2 Holdings, Inc.",c2,94.11764705882352,94.11764705882352
3799582,CH2O Inc,,ch2o,1052102,C2 INC,c2,85.71428571428572,85.71428571428572
6133256,Cor Therapeutics Inc,,cortherapeutics,1399463,C2 THERAPEUTICS INC,c2therapeutics,92.3076923076923,92.3076923076923
6133256,Cor Therapeutics Inc,,cortherapeutics,1399463,C2 Therapeutics Inc,c2therapeutics,92.3076923076923,92.3076923076923
6133256,Cor Therapeutics Inc,,cortherapeutics,1399463,C2 THERAPEUTICS INC,c2therapeutics,92.3076923076923,92.3076923076923
6133256,Cor Therapeutics Inc,,cortherapeutics,1399463,C2 Therapeutics Inc,c2therapeutics,92.3076923076923,92.3076923076923
4362111,CTC INVESTMENTS INC.,,ctcinvestments,831609,C21 Investments Inc.,c21investments,90.0,90.0
6106368,"CCS HOLDINGS, INC.",,ccs,1411223,C2C HOLDINGS INC,c2c,88.23529411764706,88.23529411764706
6106368,"CCS HOLDINGS, INC.",,ccs,1411223,C2C Holdings Inc,c2c,88.23529411764706,88.23529411764706
5996535,"CCR, LLC",,ccr,1536401,"C2C, LLC",c2c,87.5,87.5
5260617,"Centergy, Inc.",,centergy,1160798,"C2E ENERGY, INC.",c2eenergy,86.66666666666667,86.66666666666667
3357148,CFE Inc,,cfe,1423487,C2F INC,c2f,85.71428571428572,85.71428571428572
5964412,"Coil Solutions, Inc.",,coilsolutions,1048135,C2I SOLUTIONS INC,c2isolutions,86.48648648648648,86.48648648648648
6089457,"CARDLOGIX, INC.",,cardlogix,1114050,"C2LOGIX, INC.",c2logix,85.71428571428572,85.71428571428572
5564623,CI ACQUISITION LLC,,ciacquisition,1472002,C3 Acquisition Co. LLC,c3acquisition,85.0,85.0
6046775,"CHEN CAPITAL, LLC",,chencapital,1165897,"C3 CAPITAL, LLC",c3capital,87.5,87.5
5501867,"CREEHAN MANAGEMENT, INC.",,creehanmanagement,1529052,"C3 EVENT MANAGEMENT, INC.",c3eventmanagement,85.71428571428572,85.71428571428572
5501867,"CREEHAN MANAGEMENT, INC.",,creehanmanagement,1529052,"C3 Event Management, INC.",c3eventmanagement,85.71428571428572,85.71428571428572
5501867,"CREEHAN MANAGEMENT, INC.",,creehanmanagement,1529052,"C3 EVENT MANAGEMENT, INC.",c3eventmanagement,85.71428571428572,85.71428571428572
5723391,"C3, Inc.",,c3,320121,C3 INC,c3,85.71428571428572,85.71428571428572
5941363,"CIMETRICS, INC.",,cimetrics,1527046,"C3 Metrics, Inc.",c3metrics,90.32258064516128,90.32258064516128
5886894,"CSG SECURITY, INC.",,csgsecurity,1697370,C3 Security Inc.,c3security,88.23529411764706,88.23529411764706
5723391,"C3, Inc.",,c3,1577526,"C3, INC.",c3,100.0,100.0
5497633,"CZ, LLC",,cz,1478044,"C3, LLC",c3,85.71428571428572,85.71428571428572
5901067,"CAIS, INC.",,cais,1577526,"C3.ai, Inc.",c3ai,85.71428571428572,85.71428571428572
5725836,"CF Technologies, Inc.",,cftechnologies,1689049,"C360 Technologies, Inc.",c360technologies,90.9090909090909,90.9090909090909
5521303,"CV THERAPEUTICS, INC.",,cvtherapeutics,1692629,"C3J THERAPEUTICS, INC.",c3jtherapeutics,93.02325581395348,93.02325581395348
5521303,"CV THERAPEUTICS, INC.",,cvtherapeutics,1662579,"C4 Therapeutics, Inc.",c4therapeutics,95.23809523809523,95.23809523809523
3917906,COASTCOM Inc,,coastcom,1470181,C4CASTCOM INC,c4castcom,88.0,88.0
5332164,CMI LIMITED PARTNERSHIP,,cmipartnership,1498306,c5 SL I Limited Partnership,c5ipartnership,88.0,88.0
5725836,"CF Technologies, Inc.",,cftechnologies,1449695,"C5-6 Technologies, Inc.",c56technologies,90.9090909090909,90.9090909090909
3151434,CAL GARD Inc,,calgard,1457384,CA GUAR INC,caguar,86.95652173913044,86.95652173913044
4828178,"CNA HOLDINGS, INC.",,cna,1337773,CA HOLDING INC,ca,87.5,87.5
4828178,"CNA HOLDINGS, INC.",,cna,1433857,CA HOLDING INC,ca,87.5,87.5
5740252,"CNET NETWORKS, INC.",,cnetnetworks,1314355,"CA Networks, Inc.",canetworks,88.88888888888889,88.88888888888889
5404518,"CA, INC.",,ca,356028,"CA, INC.",ca,100.0,100.0
2000820,Chapman James,,chapmanjames,1508824,CAAN JAMES,caanjames,86.95652173913044,86.95652173913044
2000820,Chapman James,,chapmanjames,1508824,Caan James,caanjames,86.95652173913044,86.95652173913044
5350056,"Cambridge, Inc.",,cambridge,1673177,"Cabbige, Inc.",cabbige,85.71428571428572,85.71428571428572
4516351,Cabela's Inc.,,cabelas,1267130,CABELAS INC,cabelas,91.66666666666666,91.66666666666666
3412355,COMEL INTERNATIONAL CORP,,comelinternational,105744,CabelTel International Corp,cabeltelinternational,86.27450980392157,86.27450980392157
3412355,COMEL INTERNATIONAL CORP,,comelinternational,105744,CABELTEL INTERNATIONAL CORP,cabeltelinternational,86.27450980392157,86.27450980392157
3412355,COMEL INTERNATIONAL CORP,,comelinternational,105744,CabelTel International Corp,cabeltelinternational,86.27450980392157,86.27450980392157
3412355,COMEL INTERNATIONAL CORP,,comelinternational,105744,CABELTEL INTERNATIONAL CORP,cabeltelinternational,86.27450980392157,86.27450980392157
3412355,COMEL INTERNATIONAL CORP,,comelinternational,105744,CabelTel International Corp,cabeltelinternational,86.27450980392157,86.27450980392157
3412355,COMEL INTERNATIONAL CORP,,comelinternational,105744,CABELTEL INTERNATIONAL CORP,cabeltelinternational,86.27450980392157,86.27450980392157
3412355,COMEL INTERNATIONAL CORP,,comelinternational,105744,CabelTel International Corp,cabeltelinternational,86.27450980392157,86.27450980392157
3412355,COMEL INTERNATIONAL CORP,,comelinternational,105744,CABELTEL INTERNATIONAL CORP,cabeltelinternational,86.27450980392157,86.27450980392157
3412355,COMEL INTERNATIONAL CORP,,comelinternational,105744,CabelTel International Corp,cabeltelinternational,86.27450980392157,86.27450980392157
3412355,COMEL INTERNATIONAL CORP,,comelinternational,105744,CABELTEL INTERNATIONAL CORP,cabeltelinternational,86.27450980392157,86.27450980392157
3412355,COMEL INTERNATIONAL CORP,,comelinternational,105744,CabelTel International Corp,cabeltelinternational,86.27450980392157,86.27450980392157
4915787,CLINE ACQUISITION CORP.,,clineacquisition,817717,CABINET ACQUISITION CORP,cabinetacquisition,89.36170212765957,89.36170212765957
4915787,CLINE ACQUISITION CORP.,,clineacquisition,1623540,CABINETS ACQUISITION CORP.,cabinetsacquisition,89.79591836734694,89.79591836734694
4784459,CABLE & WIRELESS PLC,,cablewireless,924954,CABLE & WIRELESS PLC,cablewireless,100.0,100.0
4467294,CABLE AND WIRELESS PUBLIC LIMITED COMPANY,,cablewirelesspublic,854088,CABLE & WIRELESS PUBLIC LIMITED CO,cablewirelesspublic,88.0,88.0
2962129,Cable Covers Ltd,,cablecovers,1481409,Cable Corp Ltd,cable,86.66666666666667,86.66666666666667
5821466,"Cable Design Technologies, Inc.",,cabledesigntechnologies,913142,CABLE DESIGN TECHNOLOGIES CORP,cabledesigntechnologies,88.52459016393442,88.52459016393442
1848315,Cage James,,cagejames,1551315,CABLE JAMES,cablejames,85.71428571428572,85.71428571428572
1848315,Cage James,,cagejames,1551315,Cable James,cablejames,85.71428571428572,85.71428571428572
1848315,Cage James,,cagejames,1551315,CABLE JAMES,cablejames,85.71428571428572,85.71428571428572
